id,title,requirement_ids,preconditions,steps,expected_result,priority,type
TC-025,Remove Link Type with Existing Links,DEMO-SRS-135,User has a link type that has existing links.,Select the link type.; Click 'Remove'.,An error message is displayed indicating the link type cannot be removed.,High,Negative
TC-026,Search with No Matching Results,,User has multiple requirements saved.,Enter a keyword that does not match any requirement.; Click 'Search'.,No results are displayed.,Medium,Negative
TC-027,Handle Unsupported File Types During Attachment,DEMO-SRS-124,,Navigate to the attachment section.; Select an unsupported file type.; Click 'Attach'.,An error message is displayed indicating the file type is not supported.,High,Negative
TC-028,Auto Save Functionality,DEMO-SRS-144,User has made changes to a document.,Make changes to the document.; Wait for the auto-save interval.,The changes are automatically saved without user intervention.,Medium,Functional
TC-029,Clear Persisted Data on Document Closure,DEMO-SRS-160,User has unsaved changes in an open document.,Close the document.,All unsaved changes are cleared and not persisted.,High,Functional
TC-030,Record Changes to Requirements,DEMO-SRS-101,User has modified a requirement.,Modify a requirement.; Save the changes.,The change is recorded with the author and timestamp.,Medium,Functional
TC-031,Display Change History for Requirements,DEMO-SRS-159,User has modified a requirement.,Select the modified requirement.; Click on 'View Change History'.,The change history is displayed with all modifications listed.,Medium,Functional
TC-032,Print Displayed Requirements,DEMO-SRS-164,User has requirements displayed on the screen.,Navigate to the print section.; Click 'Print'.,Displayed requirements are printed successfully.,Medium,Functional
TC-033,Create Document from Template,DEMO-SRS-63,User has a document template saved.,Navigate to the document creation section.; Select the template.; Click 'Create'.,A new document is created based on the selected template.,Medium,Functional
TC-034,Open Existing Document,DEMO-SRS-56,User has at least one document saved.,Navigate to the open file section.; Select an existing document.; Click 'Open'.,The selected document opens successfully.,High,Functional
TC-035,Save Changes to Document,DEMO-SRS-59,User has made changes to an open document.,Click 'Save'.,The changes are saved successfully.,High,Functional
TC-036,Create Document Template,DEMO-SRS-61,User has a document open.,Navigate to the template section.; Click 'Create Template'.,A new document template is created successfully.,Medium,Functional
TC-037,Display Table of Contents,DEMO-SRS-80,User has a document with sections.,Navigate to the document view section.; Click on 'Show Table of Contents'.,The table of contents is displayed with links to sections.,Medium,Functional
TC-038,Display Requirements Table,DEMO-SRS-83,User has captured multiple requirements.,Navigate to the requirements view section.; Click on 'Display Requirements Table'.,The requirements are displayed in a sortable table format.,Medium,Functional
TC-039,Show Detailed Information for Selected Requirement,,User has requirements displayed.,Select a requirement from the table.; Click on 'View Details'.,Detailed information for the selected requirement is displayed.,Medium,Functional
